STATE,ST_CASE,FATALS
4,40059,1
4,40060,1
4,40061,1
4,40062,1
4,40063,1
4,40064,2
4,40065,1
4,40066,1
4,40067,1
4,40068,1
4,40069,1
4,40071,2
4,40072,1
4,40073,1
4,40074,1
4,40075,1
4,40076,1
4,40077,1
4,40078,1
4,40079,1
4,40080,1
4,40081,1
4,40082,1
4,40083,1
4,40084,1
4,40085,1
4,40086,1
4,40087,1
4,40089,1
4,40090,1
4,40091,1
4,40092,1
4,40093,1
4,40094,1
4,40095,1
4,40096,1
4,40097,1
4,40098,1
4,40099,1
4,40100,1
4,40101,1
4,40102,1
4,40103,1
4,40104,1
4,40105,1
4,40106,1
4,40107,2
4,40108,1
4,40109,1
4,40110,1
4,40111,1
4,40112,1
4,40113,1
4,40114,1
4,40115,1
4,40116,1
4,40117,1
4,40118,1
4,40119,1
4,40120,1
4,40121,1
4,40122,1
4,40124,1
4,40126,1
4,40127,2
4,40128,1
4,40129,1
4,40130,1
4,40131,1
4,40132,1
4,40133,1
4,40134,1
4,40135,1
4,40136,1
4,40137,1
4,40138,1
4,40139,1
4,40140,1
4,40141,1
4,40142,1
4,40143,1
4,40144,1
4,40145,1
4,40146,1
4,40147,1
4,40148,1
4,40149,3
4,40150,1
4,40151,1
4,40152,2
4,40153,1
4,40154,1
4,40155,1
4,40156,1
4,40157,1
4,40158,1
4,40159,1
4,40160,1
4,40161,1
4,40162,2
4,40163,1
4,40164,1
4,40165,1
4,40166,2
4,40167,1
4,40168,1
4,40169,2
4,40170,1
4,40171,1
4,40172,1
4,40173,1
4,40174,2
4,40175,1
4,40176,1
4,40177,1
4,40178,1
4,40179,1
4,40180,2
4,40182,1
4,40183,1
4,40184,5
4,40185,2
4,40186,1
4,40187,1
4,40188,1
4,40189,1
4,40190,1
4,40191,1
4,40192,1
4,40194,1
4,40195,1
4,40196,1
4,40197,1
4,40198,1
4,40199,2
4,40200,1
4,40201,1
4,40202,1
4,40203,1
4,40205,1
4,40207,1
4,40208,1
4,40209,1
4,40210,1
4,40211,2
4,40212,1
4,40213,1
4,40214,1
4,40215,1
4,40216,1
4,40217,1
4,40218,2
4,40219,3
4,40220,1
4,40221,1
4,40222,1
4,40223,1
4,40224,1
4,40225,1
4,40226,1
4,40227,1
4,40228,1
4,40229,2
4,40230,1
4,40231,1
4,40232,1
4,40233,1
4,40234,1
